Word,POS
"['he', 'boosting', 'as', 'government', 'said', 'huddling', 'inwardly', 'independent', 'subject', 'shrewdest', 'in', 'bugle']","['PRON', 'VERB', 'ADP', 'NOUN', 'VERB', '.', 'ADV', 'ADJ', 'NOUN', '.', 'ADP', 'DET']"
"['adam', 'will', 'time', 'anthem', ',', 'bison', 'measurement', 'stride', ',']","['DET', 'NOUN', 'NOUN', 'ADV', '.', 'PRON', '.', 'PRT', '.']"
"['the', 'car', 'is', 'arteries', 'salary', 'goodbye', 'statesmanship', 'same', 'discredit', 'philadelphia', '.', '5:30', 'a', '37,679', 'sewing', 'man', 'hooks', 'the']","['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', '.', 'VERB', 'DET', 'ADJ', 'ADP', 'NOUN', 'VERB', 'DET']"
"['i', ""doesn't"", 'tries', 'ago', 'shut', 'the', 'larkin', 'saves', 'opponents', 'breather', 'keynote', ""frelinghuysen's"", 'be', 'better', 'misgivings', 'supervisor']","['PRON', 'VERB', 'VERB', 'ADV', '.', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN']"
"['the', 'city', 'corrections', 'promises', 'rejoicing', 'shipbuilding', ',', 'if', 'weekends', ',', 'which', 'range', 'unto']","['DET', 'NOUN', 'CONJ', 'VERB', 'ADV', 'VERB', '.', 'ADP', 'NOUN', '.', 'DET', 'NOUN', '.']"
"['recommendations', 'was', 'nile', 'saying', 'god', ',', 'alabama', 'escapades', 'whether', 'the', 'm-1', 'in', '187.5', 'administrative', 'quarrels', 'transcript', 'been', '.']","['PRON', 'VERB', 'PRON', 'VERB', 'NOUN', '.', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'PRT', '.', 'VERB', '.']"
"[',', 'seventy-foot', '180-degrees', 'unique', 'june', 'been', 'churches', 'to', 'neal', '(']","['.', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', '.']"
"['mutiny', 'new', 'cafes', 'been', 'laughs', 'replaces', 'keep', 'liqueur', 'and', 'have', 'far-reaching', 'a']","['DET', 'ADJ', 'NOUN', 'VERB', 'PRON', 'ADV', 'VERB', 'NOUN', 'CONJ', 'VERB', 'ADP', 'DET']"
"['the', 'hail', ',', 'lebanese', ""today's"", 'harriet', 'wipe', 'explains', 'said', 'for', 'right', 'flawless', 'ball-hawking', 'can', 'tapes']","['DET', 'NUM', '.', 'DET', 'VERB', 'DET', 'NOUN', '.', 'VERB', 'ADP', 'ADJ', '.', 'NOUN', 'VERB', 'PRT']"
"['infarct', ""brother's"", 'delaney', 'flu', 'and', 'cmdr.', 'norman', 'then']","['VERB', 'VERB', 'ADV', '.', 'CONJ', 'VERB', 'ADV', 'ADV']"
"['ends', '3:30', 'miles', 'life', 'techniques', 'column', 'heavens', 'neck', ""''"", 'roadbed', 'judge', 'deposited']","['VERB', 'DET', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PRT', 'NOUN', '.', 'NOUN', 'NOUN', 'NOUN']"
"['israel', 'air', 'marquis', 'baltimore', 'brooklyn', ',', 'company', ',', 'fastens', 'ego', ""taylor's"", 'say', 'family', 'most', 'firm', 'parella']","['ADP', 'NOUN', 'ADJ', 'NOUN', 'VERB', '.', 'NOUN', '.', 'VERB', 'VERB', 'DET', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'ADP']"
"['vote', '$1.5', 'the', '37-year-old', 'position', '50', 'insult', 'of', ""february's"", 'to', 'the', 'large', 'is', 'retain', 'cause', 'director']","['NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'NUM', 'NOUN', 'ADP', 'ADV', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN']"
"['optimistic', 'landed', 'a', 'perfected', 'king', 'by', 'strategy', '.', 'a', 'eager', 'jannequin', '.', 'pleasant']","['PRT', 'VERB', 'DET', 'VERB', 'NOUN', 'ADP', 'NOUN', '.', 'DET', 'ADJ', 'NOUN', '.', 'NOUN']"
"['as', 'bisque', 'share', 'phalanx', ""griffin's"", 'conditions', 'of', ""pagnol's"", 'when', 'provide']","['ADP', 'NOUN', 'NOUN', 'CONJ', 'ADJ', 'NOUN', 'ADP', 'VERB', 'ADV', 'VERB']"
"['way', 'figone', 'before', 'parading', 'more', 'williams', '8-1/2-foot', 'percussion', 'ottoman']","['NOUN', '.', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ']"
"['spacers', 'kerby', 'expectedly', '400-lb.', 'new', 'problems', 'the', 'bitter', '.', 'the', 'accenting', 'friezes', '.']","['NOUN', '.', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'DET', 'NOUN', '.', 'DET', 'ADJ', 'NOUN', '.']"
"['reassert', 'ties', 'to', 'editor', 'if', 'which', 'sense', 'cherkasov', 'seems', 'lm', 'need', ',', 'sojourn']","['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', '.', 'VERB', 'ADP', 'NOUN', '.', 'NUM']"
